uipath_activity,uipath_type,power_automate_desktop_action,aa360_action,difficulty,notes,complex_handling
SetRangeColorConnections,excel,Excel.AppendCells.AppendCellsActiveSheetColumn,Excel - Format Cells,Medium,Modern Office 365 activity,
Append Range,excel,Excel.WriteToExcel.Write,Excel - Append Rows,Medium,Append rows into worksheet,
Write Range,excel,Excel.WriteToExcel.Write,Excel - Set Multiple Cells,Medium,Write multiple cells,
Read Cell,excel,Excel.ReadFromExcel.ReadCell,Excel - Get Cell,Low,Read single cell,
Delete Range,excel,Excel.CopyCellsFromExcel.Copy,Excel - Delete Row,Medium,Delete worksheet range,
Insert/Delete Rows,excel,Excel.InsertRow,Excel - Insert Row,Medium,Insert worksheet row,
Auto Fill Range,excel,Excel.AutoFillCells.AutoFillCellsFromCoordinates,Excel - Auto Fill,Medium,Formula propagation,
Copy Sheet,excel,Excel.AddWorksheet,Excel - Copy Worksheet,Medium,Duplicate worksheet,
Rename Sheet,excel,Excel.RenameWorksheet.RenameWorksheetWithIndex,Excel - Rename Worksheet,Low,Worksheet rename,
Delete Sheet,excel,Excel.DeleteCells.DeleteCell,Excel - Delete Worksheet,Low,Worksheet deletion,
Protect Sheet,excel,Excel.AddWorksheet,Excel - Protect Sheet,Medium,Worksheet protection,
Unprotect Sheet,excel,Excel.AddWorksheet,Excel - Unprotect Sheet,Medium,Worksheet unprotection,
Save Workbook,excel,Excel.SaveExcel.Save,Excel - Save,Low,Save workbook,
Close Workbook,excel,Excel.CloseExcel.Close,Excel - Close,Low,Close workbook,
Lookup Range,excel,Excel.LookupRange.LookupRangeCoordinatesArray,Excel - Lookup,High,Lookup conversion,
Filter Table,excel,Excel.FilterCellsFromExcel.FilterAdvancedRangeCoordinates,Excel - Filter,Medium,Filter table rows,
Sort Table,excel,Excel.SortCellsFromExcel.SortRangeCoordinates,Excel - Sort,Medium,Sort table rows,
Remove Duplicates,excel,Variables.RemoveDuplicateItemsFromList,Excel - Remove Duplicates,Medium,Deduplicate rows,
Insert Column,excel,Excel.InsertColumn,Excel - Insert Column,Low,Insert worksheet column,
Delete Column,excel,Excel.DeleteColumn,Excel - Delete Column,Low,Delete worksheet column,
Get Workbook Sheets,excel,Excel.GetAllWorksheets,Excel - Get Worksheets,Low,List worksheet names,
Read Formula,excel,Excel.ReadCellFormula.ReadFormulaFromCellCoordinates,Excel - Read Formula,Medium,Read cell formula,
Write Formula,excel,Excel.WriteToExcel.Write,Excel - Set Formula,Medium,Write formula into cell,
Run Excel Macro,excel,Excel.RunMacro,Excel - Run Macro,Very High,VBA compatibility,
Refresh Pivot Table,excel,Excel.GetTableRange,Excel - Refresh Pivot,Medium,Refresh pivot cache,
Create Table,excel,Excel.GetTableRange,Excel - Create Table,Medium,Create structured table,
Format Cells,excel,Excel.AppendCells.AppendCellsActiveSheetColumn,Excel - Format Cells,Medium,Cell formatting,
Freeze Panes,excel,Excel.AddWorksheet,Excel - Freeze Panes,Low,Freeze worksheet panes,
Hide Sheet,excel,Excel.AddWorksheet,Excel - Hide Sheet,Low,Hide worksheet,
Unhide Sheet,excel,Excel.AddWorksheet,Excel - Unhide Sheet,Low,Unhide worksheet,
Merge Cells,excel,Excel.AppendCells.AppendCellsActiveSheetColumn,Excel - Merge Cells,Medium,Merge cell range,
Unmerge Cells,excel,Excel.AppendCells.AppendCellsActiveSheetColumn,Excel - Unmerge Cells,Medium,Unmerge cell range,
Create Pivot Table,excel,WebAutomation.ExtractData.ExtractTableInExcel,Excel - Pivot Table,High,Advanced Excel mapping,
Export Excel,excel,FlowControl.StopFlow,Excel - Export PDF,Medium,Export workbook,
Read CSV,excel,XML.ReadFromFile,CSV - Read,Low,Read CSV file,
Write CSV,excel,File.WriteToCSVFile.WriteCSV,CSV - Write,Low,Write CSV file,
Launch Excel,excel,Excel.LaunchExcel.LaunchAndOpen,Excel - Open,Low,Launch Excel instance,
Activate Sheet,excel,Excel.ActivateCellInExcel.ActivateCell,Excel - Activate Sheet,Low,Activate worksheet,
Open Application,desktop,System.RunApplication.RunApplication,Open Program/File,Medium,Desktop app launch,
Attach Window,desktop,UIAutomation.FocusWindow.Focus,Attach Window,High,Window selector mapping,
Close Window,desktop,UIAutomation.CloseWindow.Close,Close Window,Low,Close application window,
Activate Window,desktop,UIAutomation.FocusWindow.Focus,Activate Window,Low,Bring window to front,
Maximize Window,desktop,UIAutomation.GetWindow.Get,Window Operations,Low,Maximize application window,
Minimize Window,desktop,UIAutomation.GetWindow.Get,Window Operations,Low,Minimize application window,
Restore Window,desktop,UIAutomation.GetWindow.Get,Window Operations,Low,Restore window state,
Move Window,desktop,UIAutomation.MoveWindow.Move,Window Operations,Medium,Window repositioning,
Resize Window,desktop,UIAutomation.ResizeWindow.Resize,Window Operations,Medium,Window resizing,
Check App State,desktop,UIAutomation.GetWindowDetails,Window Exists,Medium,Validate app/window state,
Element Exists,ui_validation,UIAutomation.GetElementDetails,If Object Exists,High,Selector validation,
Find Element,ui_validation,XML.InsertElement,Object Cloning,High,Find UI element,
Find Image,ui_validation,UIAutomation.SelectTab,Image Recognition,Very High,Image based automation,
Text Exists,ui_validation,Text.JoinText.Join,Object Exists,Medium,Text existence validation,
Image Exists,ui_validation,UIAutomation.SelectTab,Image Recognition,Very High,Image existence validation,
Anchor Base,ui_validation,Azure.CreateSession,Anchor Automation,Very High,Anchor selector logic,
Hover,ui_action,COMMENT,Mouse Hover,Medium,Hover interaction,
Double Click,ui_action,UIAutomation.Click.Click,Double Click,Low,Double click interaction,
Right Click,ui_action,UIAutomation.Click.Click,Right Click,Low,Right click interaction,
Click Text,ui_action,Text.JoinText.Join,OCR Click,Very High,OCR based click,
Click Image,ui_action,Workstation.ControlScreenSaver,Image Click,Very High,Image recognition click,
Type Secure Text,ui_action,UIAutomation.PopulateTextField.PopulateTextField,Secure Text Entry,High,Masked input handling,
Get Text,ui_action,UIAutomation.GetElementDetails,Get Text,Medium,Extract UI text,
Get Full Text,ui_action,PDF.ExtractTextFromPDF.ExtractText,Get Text,High,Native extraction,
Get Visible Text,ui_action,PDF.ExtractTextFromPDF.ExtractText,Screen Text Capture,High,Visible text extraction,
Select Item,ui_action,WebAutomation.ClickDownloadLink,Dropdown Select,Medium,Dropdown interaction,
Check,ui_action,UIAutomation.SetCheckboxState,Check Checkbox,Low,Checkbox selection,
Uncheck,ui_action,UIAutomation.SetCheckboxState,Uncheck Checkbox,Low,Checkbox deselection,
Drag And Drop,ui_action,UIAutomation.DragAndDropElement,Drag Drop,High,Complex interaction,
Scroll,ui_action,UIAutomation.CloseWindow.Close,Scroll,Medium,Page scrolling,
Set Focus,ui_action,XML.RemoveElement,Activate Object,Low,UI focus handling,
Highlight,ui_action,XML.InsertElement,Highlight Object,Medium,UI highlight visualization,
Simulate Click,ui_action,UIAutomation.Click.Click,Click,Medium,Simulated UI interaction,
Simulate Type,ui_action,UIAutomation.PopulateTextField.PopulateTextField,Set Text,Medium,Simulated typing interaction,
Mouse Scroll,ui_action,UIAutomation.CloseWindow.Close,Mouse Scroll,Low,Mouse wheel interaction,
Send Hotkey,keyboard,COMMENT,Keystroke,Medium,Keyboard automation,
Copy Selected Text,keyboard,Clipboard.SetText,Clipboard Copy,Low,Clipboard operation,
Take Screenshot,utility,UIAutomation.TakeScreenshotOfUIElement.TakeScreenshotOfUIElement,Capture Image,Low,Screen capture,
Read Barcode,ocr,XML.ReadFromFile,Barcode Recognition,High,Barcode OCR,
Read QR Code,ocr,XML.ReadFromFile,QR Recognition,High,QR OCR,
Screen Scraping,ocr,PDF.ExtractTextFromPDF.ExtractText,Screen Text Capture,High,Text scraping,
Google Vision OCR,ocr,Folder.Copy,Google OCR,Very High,Cloud OCR integration,
Microsoft OCR,ocr,Folder.Copy,Microsoft OCR,Very High,OCR engine mapping,
OmniPage OCR,ocr,PDF.ExtractTextFromPDF.ExtractText,OCR Capture,Very High,OCR engine dependency,
Native OCR,ocr,PDF.ExtractTextFromPDF.ExtractText,OCR Capture,Very High,Native OCR engine,
Tesseract OCR,ocr,PDF.ExtractTextFromPDF.ExtractText,Tesseract OCR,Very High,Tesseract OCR integration,
Abbyy OCR,ocr,PDF.ExtractTextFromPDF.ExtractText,ABBYY OCR,Very High,ABBYY OCR integration,
Computer Vision Scope,ocr,Folder.Copy,CV Automation,Very High,Computer vision automation,
CV Click,ocr,Workstation.ControlScreenSaver,CV Click,Very High,Computer vision click,
CV Type Into,ocr,UIAutomation.PopulateTextField.PopulateTextField,CV Set Text,Very High,Computer vision typing,
CV Get Text,ocr,PDF.ExtractTextFromPDF.ExtractText,CV Get Text,Very High,Computer vision extraction,
Read PDF Text,pdf,PDF.ExtractTextFromPDF.ExtractText,PDF Text Extraction,High,PDF parsing,
Read PDF With OCR,pdf,PDF.ExtractTextFromPDF.ExtractText,PDF OCR,Very High,OCR based extraction,
Merge PDF,pdf,PDF.MergeFiles,PDF Merge,Medium,Merge PDF files,
Split PDF,pdf,PDF.MergeFiles,PDF Split,Medium,Split PDF document,
Protect PDF,pdf,FTP.CreateDirectory,PDF Encryption,High,PDF security,
Unprotect PDF,pdf,FTP.OpenConnection,PDF Decryption,High,PDF security,
Read PDF Form Fields,pdf,PDF.ExtractPages,PDF Form Extraction,High,PDF form parsing,
Export Form Fields,pdf,PDF.MergeFiles,PDF Export Fields,High,PDF form export,
Read Text File,file,File.ReadTextFromFile.ReadText,Read File,Low,Read text file,
Write Text File,file,File.WriteText,Write File,Low,Write text file,
Append Line,file,Text.AppendLine,Append File,Low,Append file content,
Move File,file,File.Move,Move File,Low,Move filesystem file,
Copy File,file,File.Copy,Copy File,Low,Copy filesystem file,
Delete,file,File.Delete,Delete File,Low,Delete filesystem file,
Path Exists,file,File.WriteText,If File Exists,Low,Validate path existence,
Create Folder,file,Folder.Create,Create Folder,Low,Create directory,
Delete Folder,file,Folder.Delete,Delete Folder,Low,Delete directory,
Zip Files,file,Compression.ZipFiles,Zip Files,Medium,Compress files,
Unzip Files,file,Compression.UnzipFiles,Unzip Files,Medium,Extract compressed archive,
Download File,file,Web.DownloadFromWeb.Download,Download File,Medium,File download,
Create File,file,FTP.RenameFile,Create File,Low,Filesystem file creation,
Rename File,file,File.RenameFiles.Rename,Rename File,Low,Filesystem rename,
Move Folder,file,Folder.Move,Move Folder,Low,Folder relocation,
Copy Folder,file,Folder.Copy,Copy Folder,Low,Folder duplication,
Empty Recycle Bin,file,Workstation.EmptyRecycleBin,Recycle Bin Empty,Medium,Recycle bin cleanup,
Read Lines,file,XML.ReadFromFile,Read File,Low,Line-based file reading,
Write Lines,file,File.WriteText,Write File,Low,Line-based file writing,
Deserialize XML,data,Variables.ConvertCustomObjectToJson,XML Parser,High,Parse XML content,
Deserialize JSON,data,Variables.ConvertCustomObjectToJson,JSON Parser,Medium,Parse JSON content,
Build Data Table,data,Variables.CreateNewDatatable,Dataset Create,Medium,Create structured data table,
Add Data Column,data,Variables.RetrieveDataTableColumnIntoList,Dataset Add Column,Low,Add datatable column,
Remove Data Column,data,Variables.DeleteRowFromDataTable,Dataset Remove Column,Low,Remove datatable column,
Add Data Row,data,Variables.AddRowToDataTable.AppendRowToDataTable,Dataset Add Row,Low,Add datatable row,
Remove Data Row,data,Variables.DeleteRowFromDataTable,Dataset Remove Row,Low,Remove datatable row,
Filter Data Table,data,Variables.FilterDataTable,Dataset Filter,Medium,Filter datatable,
Sort Data Table,data,Variables.FilterDataTable,Dataset Sort,Medium,Sort datatable,
Merge Data Table,data,Variables.MergeDataTables,Dataset Merge,High,Merge datatables,
Remove Duplicate Rows,data,Variables.DeleteDuplicateRowsFromDataTable,Dataset Deduplicate,Medium,Deduplicate datatable,
Generate Data Table,data,Variables.GenerateDataTableFromCSV.ReadFixedColumnWidths,Dataset Generate,High,Generate table from text,
Build Dictionary,data,COMMENT,Dictionary Operation,Medium,Dictionary creation,
Lookup Data Table,data,Variables.JoinDataTable,Dataset Lookup,High,Datatable lookup,
Output Data Table,data,Text.ConvertDateTimeToText.FromDateTime,Dataset Export,Medium,Datatable serialization,
Transpose Data Table,data,Variables.JoinDataTable,Dataset Transform,High,Datatable transpose,
Data Scraping,data,WebAutomation.ExtractData.ExtractData,Web Table Extraction,High,Structured extraction,
Invoke Code,code,Scripting.RunPythonScript,Run Script,Very High,Custom code execution,
Invoke Method,code,Scripting.RunDotNetScript,Function Call,High,.NET method execution,
Invoke Com Method,code,Scripting.RunVBScript.RunVBScript,Function Call,High,COM invocation,
Execute Query,database,Database.ExecuteSqlStatement.ConnectAndExecute,Database Query,High,Database read query,
Execute Non Query,database,Database.ExecuteSqlStatement.ConnectAndExecute,Database Execute,High,Database write query,
Connect,database,FTP.OpenConnection,Database Connect,Medium,Open DB connection,
Disconnect,database,FTP.CloseConnection,Database Disconnect,Low,Close DB connection,
Start Process,system,System.RunApplication.RunApplication,Open Program/File,Medium,Launch external process,
Kill Process,system,System.TerminateProcess.TerminateProcessById,Kill Process,Low,Terminate process,
Get Environment Variable,system,System.GetEnvironmentVariable.GetEnvironmentVariable,System Variable Read,Low,Read environment variable,
Set Environment Variable,system,System.SetEnvironmentVariable,System Variable Write,Medium,Update environment variable,
Get Password,credential,COMMENT,Get Credential,High,Credential retrieval,
Send Outlook Mail Message,email,Email.SendEmail.AuthenticateAndSend,Send Email,Low,Send Outlook email,
Get Outlook Mail Messages,email,Outlook.RetrieveEmailMessages.RetrieveEmails,List Emails,Medium,Read Outlook mailbox,
Save Mail Attachments,email,Outlook.SaveOutlookEmailMessages.SaveEmails,Download Attachment,Medium,Extract mail attachments,
Move Outlook Mail Message,email,Outlook.ProcessEmailMessages.MoveEmails,Move Email,Medium,Move mailbox message,
Delete Outlook Mail Message,email,Outlook.ProcessEmailMessages.MoveEmails,Delete Email,Low,Delete mailbox message,
Reply To Outlook Mail Message,email,Outlook.ProcessEmailMessages.MoveEmails,Reply Email,Medium,Reply email thread,
Forward Outlook Mail Message,email,Outlook.ProcessEmailMessages.MoveEmails,Forward Email,Low,Forward mailbox message,
Mark Mail As Read,email,Outlook.ProcessEmailMessages.MarkEmailsAsUnread,Email Mark Read,Low,Update email status,
Exchange Mail Message,email,Email.SendEmail.AuthenticateAndSend,Send Email,Medium,Exchange integration,
Save Attachments,email,Outlook.SaveOutlookEmailMessages.SaveEmails,Download Attachment,Medium,Attachment extraction,
Mark As Read,email,Outlook.ProcessEmailMessages.MarkEmailsAsUnread,Email Mark Read,Low,Mailbox update,
Get IMAP Mail Messages,email,Email.RetrieveEmails.Retrieve,List Emails,High,IMAP retrieval,
Get POP3 Mail Messages,email,Email.RetrieveEmails.Retrieve,List Emails,High,POP3 retrieval,
Connect SMTP,email,Exchange.ConnectToExchangeServer.Connect,Email Connect,Medium,SMTP mailbox connection,
Connect IMAP,email,Exchange.ConnectToExchangeServer.Connect,Email Connect,Medium,IMAP mailbox connection,
Connect POP3,email,Exchange.ConnectToExchangeServer.Connect,Email Connect,Medium,POP3 mailbox connection,
Disconnect Mail,email,Exchange.ConnectToExchangeServer.Connect,Email Disconnect,Low,Mailbox disconnection,
Move Mail Message,email,Email.ProcessEmails.Move,Move Email,Medium,Mailbox organization,
Delete Mail Message,email,Email.ProcessEmails.Delete,Delete Email,Low,Mailbox cleanup,
Get Exchange Mail Messages,email,Email.RetrieveEmails.Retrieve,List Emails,Medium,Exchange mailbox retrieval,
Download Email Attachments,email,Outlook.SaveOutlookEmailMessages.SaveEmails,Download Attachment,Medium,Attachment extraction,
Save Email,email,Outlook.SaveOutlookEmailMessages.SaveEmails,Save Email,Medium,Email export,
HTTP Request,api,Web.InvokeSoapService.InvokeSoapService,HTTP Request,Medium,REST API request,
Authenticate OAuth,api,Web.InvokeWebService.InvokeWebService,OAuth Authentication,Very High,OAuth token handling,
Serialize JSON Array,api,Variables.ConvertCustomObjectToJson,JSON Builder,Medium,JSON array serialization,
Serialize JSON Object,api,Variables.ConvertCustomObjectToJson,JSON Builder,Medium,JSON object serialization,
Invoke Web Service,api,Web.InvokeSoapService.InvokeSoapService,HTTP Request,Medium,SOAP/REST invocation,
Get Queue Items,orchestrator,WorkQueues.GetWorkQueueItems,Get Queue Items,Medium,Retrieve queue items,
Set Transaction Status,orchestrator,SAP.SapSelectMenuItem,Update Queue Item,Medium,Update queue item status,
Start Job,orchestrator,FlowControl.RunSubflow,Run Bot,Medium,Execute automation job,
Stop Job,orchestrator,UIAutomation.UseDesktop,Stop Bot,Medium,Terminate automation job,
Go Back,ui_automation,WebAutomation.Click.Click,Browser Back,Low,Browser backward navigation,
Go Forward,ui_automation,WebAutomation.Click.Click,Browser Forward,Low,Browser forward navigation,
Get Attribute,ui_automation,WebAutomation.GetDetailsOfElement,Get Object Property,High,Attribute extraction,
Set Attribute,ui_automation,WebAutomation.GetDetailsOfElement,Set Object Property,High,Attribute update,
Invoke Process,invoke,FlowControl.RunSubflow,Run Bot,Medium,Cross process invocation,
Terminal Session,terminal,TerminalEmulation.OpenTerminalSession.OpenSession,Terminal Emulator,Very High,Mainframe integration,
Send Control Key,terminal,Exchange.SendMessage,Terminal Keystrokes,High,Terminal keyboard handling,
Get Terminal Text,terminal,TerminalEmulation.GetTextFromTerminalSession.GetTextFromCursorPosition,Terminal OCR,Very High,Terminal screen extraction,
Set Terminal Text,terminal,TerminalEmulation.CloseSession,Terminal Text Input,High,Terminal text entry,
Close Terminal Session,terminal,TerminalEmulation.CloseSession,Terminal Session Close,Medium,Session cleanup,
Connect Terminal,terminal,TerminalEmulation.OpenTerminalSession.OpenSession,Terminal Emulator,Very High,Terminal connectivity,
Disconnect Terminal,terminal,TerminalEmulation.CloseSession,Terminal Session Close,Medium,Terminal disconnection,
Send Terminal Key,terminal,Exchange.SendMessage,Terminal Keystrokes,High,Terminal keyboard interaction,
Get Terminal Session Text,terminal,TerminalEmulation.GetTextFromTerminalSession.GetTextFromCursorPosition,Terminal OCR,Very High,Terminal extraction,
Terminate Workflow,control_flow,FlowControl.StopFlow,Stop Bot,Medium,Workflow termination,
Rethrow,control_flow,FlowControl.ThrowError,Throw Exception,Medium,Exception propagation,
SAP Login,sap,SAP.SapLogin.SapLogInAdvancedConnectionOptionMultiple,Launch SAP,High,SAP GUI automation,
SAP Attach Session,sap,SAP.AttachToRunning.AttachToRunningSapByActiveSession,Attach Window,High,SAP session attachment,
SAP Click,sap,UIAutomation.Click.Click,SAP Click,High,SAP selector handling,
SAP Type,sap,UIAutomation.PopulateTextField.PopulateTextField,SAP Set Text,High,SAP text entry,
SAP Select Menu,sap,UIAutomation.SelectMenuOption,SAP Menu Select,High,SAP navigation,
SAP Grid View,sap,UIAutomation.ExtractDataFromWindow.ExtractData,SAP Grid Extraction,Very High,SAP table extraction,
SAP Export,sap,PDF.ExtractPages,SAP Export,Medium,SAP export handling,
SAP Transaction,sap,Exchange.SendMessage,SAP Transaction,High,TCode execution,
SAP Logout,sap,UIAutomation.CloseWindow.Close,SAP Logout,Low,SAP logout,
Citrix Click,citrix,COMMENT,Citrix Click,Very High,Image based automation,
Citrix Type,citrix,COMMENT,Citrix Text Entry,Very High,Virtual desktop typing,
Citrix OCR,citrix,PDF.ExtractTextFromPDF.ExtractText,Citrix OCR,Very High,Citrix OCR dependency,
Citrix Scroll,citrix,UIAutomation.CloseWindow.Close,Citrix Scroll,High,Citrix interaction,
Citrix Hover,citrix,COMMENT,Citrix Hover,High,Virtual UI handling,
Java Attach Window,java,Word.Attach,Java Automation,High,Java extension dependency,
Java Click,java,UIAutomation.Click.Click,Java Click,High,Java selector handling,
Java Type Into,java,UIAutomation.PopulateTextField.PopulateTextField,Java Set Text,High,Java text handling,
Java Get Text,java,WebAutomation.GetDetailsOfElement,Java Get Text,High,Java extraction,
Java Select Item,java,WebAutomation.ClickDownloadLink,Java Dropdown,High,Java dropdown interaction,
Browser Attach Chrome,browser,AWS.AttachVolume,Browser Attach,Medium,Chrome browser handling,
Browser Attach Edge,browser,AWS.AttachVolume,Browser Attach,Medium,Edge browser handling,
Browser Attach Firefox,browser,AWS.AttachVolume,Browser Attach,Medium,Firefox browser handling,
Inject JS Script,browser,WebAutomation.ExecuteJavascript,JavaScript Injection,High,Custom browser scripting,
Get Browser Cookies,browser,WebAutomation.ExecuteJavascript,Browser Cookies,High,Cookie extraction,
Clear Browser Cache,browser,Scripting.RunDOSCommand.RunDOSCommand,Browser Cleanup,Medium,Cache cleanup,
Get User From AD,active_directory,Scripting.RunPowershellScript.RunScript,AD Get User,High,Active Directory query,
Create AD User,active_directory,Scripting.RunPowershellScript.RunScript,AD Create User,Very High,AD provisioning,
Disable AD User,active_directory,Scripting.RunPowershellScript.RunScript,AD Disable User,High,AD management,
Reset AD Password,active_directory,Scripting.RunPowershellScript.RunScript,AD Reset Password,Very High,Credential management,
Get AD Groups,active_directory,Scripting.RunPowershellScript.RunScript,AD Groups,High,AD group extraction,
SharePoint Upload File,sharepoint,Web.InvokeSoapService.InvokeSoapService,SharePoint Upload,High,Cloud integration,
SharePoint Download File,sharepoint,Web.InvokeSoapService.InvokeSoapService,SharePoint Download,High,Cloud integration,
SharePoint List Items,sharepoint,Web.InvokeSoapService.InvokeSoapService,SharePoint List,High,SharePoint list handling,
SharePoint Delete File,sharepoint,Web.InvokeSoapService.InvokeSoapService,SharePoint Delete,High,SharePoint cleanup,
SharePoint Create Folder,sharepoint,Web.InvokeSoapService.InvokeSoapService,SharePoint Create Folder,High,SharePoint structure,
Word Application Scope,word,Word.LaunchWord.Launch,Word Open,Low,Word application handling,
Read Word Document,word,Word.ReadFromWord.Read,Word Read,Medium,Word extraction,
Write Word Document,word,Word.WriteToWord.WriteEndOfBookmark,Word Write,Medium,Word creation,
Replace Word Text,word,Word.FindAndReplaceWord.FindAndReplaceAllWildcards,Word Replace,Medium,Word text replacement,
Save Word Document,word,Word.SaveWord.Save,Word Save,Low,Word save,
Close Word Document,word,Word.CloseWord.Close,Word Close,Low,Word close,
Export Word PDF,word,File.ConvertToBinary,Word Export PDF,Medium,Word PDF export,
Create Outlook Appointment,outlook,Text.CreateHTMLContent,Outlook Calendar Create,Medium,Calendar automation,
Get Outlook Appointments,outlook,Text.CreateHTMLContent,Outlook Calendar Read,Medium,Calendar extraction,
Delete Outlook Appointment,outlook,Outlook.Close,Outlook Calendar Delete,Low,Calendar cleanup,
Respond Outlook Meeting,outlook,Outlook.Close,Outlook Calendar Response,Medium,Meeting response,
Matches Regex,regex,Text.EscapeForRegularExpression,Regex Match,Medium,Regex validation,
Replace Regex,regex,Text.EscapeForRegularExpression,Regex Replace,Medium,Regex transformation,
Extract Regex Values,regex,Text.EscapeForRegularExpression,Regex Extract,Medium,Regex extraction,
Encrypt File,encryption,Cryptography.EncryptFromFile.EncryptFromFileWithAES,File Encryption,High,File security,
Decrypt File,encryption,Cryptography.DecryptToFile.DecryptToFileWithAES,File Decryption,High,File security,
Encrypt Text,encryption,Cryptography.EncryptText.EncryptTextWithAES,Text Encryption,Medium,Text protection,
Decrypt Text,encryption,Cryptography.DecryptText.DecryptTextWithAES,Text Decryption,Medium,Text protection,
AI Center Predict,ai,Folder.Copy,AI Prediction,Very High,ML prediction service,
Document Understanding,ai,Folder.Copy,Document Understanding,Very High,Document AI extraction,
ML Extractor,ai,Folder.Copy,ML Extractor,Very High,Machine learning extraction,
Classification Station,ai,SAP.EndTransaction,Document Classification,Very High,Human in loop AI,
Intelligent OCR,ai,Folder.Copy,Intelligent OCR,Very High,Hybrid OCR pipeline,
Test Case,test_automation,FlowControl.RunSubflow,Run Test Case,Medium,Automated testing,
Verify Expression,test_automation,Conditionals.If,Assertion,Medium,Validation logic,
Verify Control,test_automation,UIAutomation.GetElementDetails,UI Assertion,High,UI validation,
